"","Family","Genus","Species","Museum_number","Date","Year","Country","Location","Latitude","Longitude","Reference","Holotype","Checked"
"1","Emballonuridae","Coleura","afra","DM14081","24-May-12",2012,"Gabon","Maboumine",-0.804,10.534,"A. Monadjem Unpublished","",""
"2","Emballonuridae","Taphozous","mauritianus","ENMNH","15-Apr-23",2023,"Eswatini","Maguga",-26.082,31.251,"A. Monadjem Unpublished","",""
"3","Hipposideridae","Hipposideros","abae","DM13713","04-Dec-13",2013,"Sierra Leone","Tonkolili mine",9.002,-11.701,"A. Monadjem Unpublished","",""
"4","Hipposideridae","Hipposideros","jonesi","DM13706","29-Nov-13",2013,"Sierra Leone","Tonkolili mine",9.012,-11.68,"A. Monadjem Unpublished","",""
"5","Miniopteridae","Miniopterus","wilsoni","EOWL","",NA,"Mozambique","Chimanimani NP, Binga",-19.75,33.057,"A. Monadjem Unpublished","",""
"6","Miniopteridae","Miniopterus","wilsoni","EOWL","",NA,"Mozambique","Chimanimani NP, Chikukwa",-19.715,32.984,"A. Monadjem Unpublished","",""
"7","Miniopteridae","Miniopterus","wilsoni","EOWL","",NA,"Mozambique","Chimanimani NP, Nhahomba",-19.604,33.075,"A. Monadjem Unpublished","",""
"8","Molossidae","Mops","pumilus","ENMNH","28-Feb-23",2023,"Gabon","Baniaka",-2.034,13.433,"A. Monadjem Unpublished","",""
"9","Molossidae","Mops","spurrelli","DM13707","29-Nov-13",2013,"Sierra Leone","Tonkolili",9.012,-11.68,"A. Monadjem Unpublished","",""
"10","Molossidae","Tadarida","fulminans","EWL","23-Apr-17",2017,"Mozambique","Codzo cave",-18.564,34.872,"A. Monadjem Unpublished","",""
"11","Nycteridae","Nycteris","grandis","DM14080","23-May-12",1964,"Gabon","Maboumine",-0.886,10.408,"A. Monadjem Unpublished","",""
"12","Nycteridae","Nycteris","major","DM14127","03-Oct-12",1953,"Gabon","Maboumine",-0.886,10.408,"A. Monadjem Unpublished","",""
"13","Pteropodidae","Eidolon","helvum","","",NA,"Mozambique","Maputo Botanical Garden",NA,NA,"A. Monadjem Unpublished","","Yes"
"14","Pteropodidae","Epomops","franqueti","ENMNH","01-Mar-23",2023,"Gabon","Baniaka",-2.04,13.465,"A. Monadjem Unpublished","",""
"15","Pteropodidae","Epomops","franqueti","DM14119","29-Sep-12",2012,"Gabon","Maboumine",-0.886,10.408,"A. Monadjem Unpublished","",""
"16","Pteropodidae","Hypsignathus","monstrosus","DM14125","02-Oct-12",2012,"Gabon","Maboumine",-0.886,10.408,"A. Monadjem Unpublished","",""
"17","Pteropodidae","Megaloglossus","azagnyi","DM12638","",NA,"Liberia","Nimba, Yiti River 1",7.504,-8.589,"A. Monadjem Unpublished","",""
"18","Pteropodidae","Megaloglossus","woermanni","ENMNH","05-Mar-23",1885,"Gabon","Baniaka",-2.031,13.436,"A. Monadjem Unpublished","",""
"19","Pteropodidae","Megaloglossus","woermanni","DM14136","04-Oct-12",NA,"Gabon","Maboumine",-0.754,10.551,"A. Monadjem Unpublished","",""
"20","Pteropodidae","Myonycteris","angolensis","DM12601","00-Jan-00",1900,"Liberia","Nimba, Mtn Gangra, adit 1",7.547,-8.634,"A. Monadjem Unpublished","",""
"21","Pteropodidae","Myonycteris","angolensis","DM12637","22-Dec-10",2010,"Liberia","Nimba, Mtn Nimba, Nimba Reserve",7.528,-8.527,"A. Monadjem Unpublished","",""
"22","Pteropodidae","Myonycteris","torquata","ENMNH","07-Mar-23",2023,"Gabon","Baniaka",-2.07,13.489,"A. Monadjem Unpublished","",""
"23","Pteropodidae","Myonycteris","torquata","DM14135","04-Oct-12",2012,"Gabon","Maboumine",-0.754,10.551,"A. Monadjem Unpublished","",""
"24","Pteropodidae","Rousettus","aegyptiacus","DM14124","30-Sep-12",2012,"Gabon","Maboumine",-0.754,10.551,"A. Monadjem Unpublished","",""
"25","Pteropodidae","Rousettus","aegyptiacus","JAG_362","15-Apr-17",2017,"Mozambique","Gorongosa NP, Codzo Caves",-18.564,34.872,"A. Monadjem Unpublished","","Yes"
"26","Pteropodidae","Rousettus","aegyptiacus","Mabu22_034","18-Sep-22",2022,"Mozambique","Mt. Mabu",-16.285,36.398,"A. Monadjem Unpublished","","Yes"
"27","Pteropodidae","Rousettus","aegyptiacus","Janga_02","21-Apr-23",2023,"Mozambique","Nacala, Janga Village",-14.598,40.798,"A. Monadjem Unpublished","","Yes"
"28","Pteropodidae","Scotonycteris","bergmansi","ENMNH","01-Mar-23",2023,"Gabon","Baniaka",-2.04,13.465,"A. Monadjem Unpublished","",""
"29","Pteropodidae","Scotonycteris","bergmansi","DM14134","04-Oct-12",2012,"Gabon","Maboumine",-0.754,10.551,"A. Monadjem Unpublished","",""
"30","Rhinolophidae","Rhinolophus","guineensis","DM13709","02-Dec-13",2013,"Sierra Leone","Tonkolili mine",9.036,-11.673,"A. Monadjem Unpublished","",""
"31","Rhinonycteridae","Cloeotis","percivali","MAG23_01","14-Apr-23",2023,"Eswatini","Maguga",-26.081,31.252,"A. Monadjem Unpublished","","Yes"
"32","Vespertilionidae","Afronycteris","nana","DM14137","06-Oct-12",2012,"Gabon","Maboumine",-0.886,10.408,"A. Monadjem Unpublished","",""
"33","Vespertilionidae","Glauconycteris","variegata","EOWL","10-Nov-22",2022,"Mozambique","Chironde",-18.323,35.351,"A. Monadjem Unpublished","",""
"34","Vespertilionidae","Nycticeinops","bellieri","DM13710","26-Nov-13",2013,"Sierra Leone","Tonkolili mine",9.008,-11.7,"A. Monadjem Unpublished","",""
"35","Vespertilionidae","Nycticeinops","crassulus","DM14126","03/10/2012",2012,"Gabon","Maboumine",-0.886,10.408,"A. Monadjem Unpublished","",""
"36","Vespertilionidae","Nycticeinops","happoldorum","ENMNH","",NA,"Gabon","Baniaka",-2.034,13.433,"A. Monadjem Unpublished","",""
"37","Vespertilionidae","Pseudoromicia","rendalli","EOW","",NA,"Mozambique","Gorongosa NP, Chitengo",-18.978,34.351,"A. Monadjem Unpublished","",""
"38","Vespertilionidae","Pseudoromicia","rendalli","DM13712","04-Dec-13",2013,"Sierra Leone","Tonkolili mine",9.002,-11.701,"A. Monadjem Unpublished","",""
"39","Vespertilionidae","Scotophilus","nux","DM13212","03-Jan-12",2012,"Liberia","Swamp between Yekepa & Gangra",7.572,-8.566,"A. Monadjem Unpublished","",""
"40","Hipposideridae","Hipposideros","cf. ruber","EQ002","08-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.26403,8.47968,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"41","Hipposideridae","Hipposideros","cf. ruber","EQ003","08-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.26344,8.47953,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"42","Hipposideridae","Hipposideros","cf. ruber","EQ004","08-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.26344,8.47953,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"43","Hipposideridae","Hipposideros","cf. ruber","EQ080","01-Feb-24",2024,"Equatorial Guinea","Bioko, Pico Basile",3.6737,8.4884,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"44","Hipposideridae","Hipposideros","cf. ruber","EQ081","01-Feb-24",2024,"Equatorial Guinea","Bioko, Pico Basile",3.6737,8.4884,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"45","Hipposideridae","Macronycteris","gigas","EQ026","25-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.19366,10.8845,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"46","Nycteridae","Nycteris","grandis","EQ030","26-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.17808,10.88784,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"47","Pteropodidae","Epomops","franqueti","EQ024","25-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.19366,10.8845,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"48","Pteropodidae","Megaloglossus","woermanni","EQ010","11-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.2618,8.47957,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"49","Pteropodidae","Megaloglossus","woermanni","EQ025","25-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.19366,10.8845,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"50","Pteropodidae","Myonycteris","angolensis","EQ001","08-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.26403,8.47968,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"51","Pteropodidae","Rousettus","aegyptiacus","EQ005","10-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.2618,8.47957,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"52","Pteropodidae","Scotonycteris","bergmansi","EQ027","25-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.17327,10.88576,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"53","Pteropodidae","Scotonycteris","zenkeri","EQ006","10-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.2618,8.47957,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"54","Pteropodidae","Scotonycteris","zenkeri","EQ007","10-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.2618,8.47957,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"55","Pteropodidae","Scotonycteris","zenkeri","EQ009","11-Jan-24",2024,"Equatorial Guinea","Bioko, Moraka",3.2618,8.47957,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"56","Rhinolophidae","Rhinolophus","landeri","EQ054","29-Jan-24",2024,"Equatorial Guinea","Bioko, Pico Basile",3.623,8.79701,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"57","Rhinolophidae","Rhinolophus","landeri","EQ055","30-Jan-24",2024,"Equatorial Guinea","Bioko, Pico Basile",3.6376,8.8205,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"58","Rhinolophidae","Rhinolophus","landeri","EQ056","30-Jan-24",2024,"Equatorial Guinea","Bioko, Pico Basile",3.62988,8.8089,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"59","Vespertilionidae","Glauconycteris","curryae","EQ019","22-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.17786,10.88709,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
"60","Vespertilionidae","Glauconycteris","curryae","EQ028","25-Jan-24",2024,"Equatorial Guinea","Oyala Park",1.17327,10.88576,"A. Monadjem, M. Mamba, I. Tanshi, L. Torrent Unpublished","","Yes"
