Family,Genus,Species,Museum_number,Date,Year,Country,Location,Latitude,Longitude,Reference,Holotype,Checked
Cistugidae,Cistugo,lesueuri,TM2286,15-Sep-17,1917,South Africa,Franschoek valley,-33.73,18.97,Van Cakenberghe & Seamark 2022,Holotype,
Cistugidae,Cistugo,lesueuri,KM2025,01-Jun-33,1933,South Africa,"Bedford, SE",-32.88,26.24,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,KM2031,01-Oct-33,1933,South Africa,"Bedford, SE",-32.88,26.24,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,TM29310,12-Jul-78,1978,South Africa,Saasveld Forest,-33.97,22.52,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,TM29511,22-Jan-79,1979,South Africa,Karoo NP,-32.33,22.55,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,KM24805,03-Feb-79,1979,Lesotho,Sehlabathebe NP,-29.87,29.08,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,TM35121,25-Aug-82,1982,South Africa,Algeria Forest Research Station,-32.4,19.13,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,NMB6887,02-Jan-88,1988,Lesotho,Matelanong,-29.38,29.13,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,NMB6696,27-Nov-88,1988,Lesotho,Sehlabathebe NP,-29.87,29.08,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,NMB7036,17-Apr-89,1989,Lesotho,"Lepaqoa, Pelaneng",-29.13,28.38,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,NMB7268,17-Oct-89,1989,Lesotho,Marakabei,-29.62,28.12,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,NMB7902,27-Nov-90,1990,South Africa,Golden Gate,-28.38,28.63,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,NMB7847,28-Nov-90,1990,South Africa,"Arrarat, Sterkfontein Dam",-28.38,28.88,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,NMB7700,03-Dec-90,1990,South Africa,"Waterval, Warden",-27.88,29.13,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,NMB8158,15-Oct-91,1991,Lesotho,"Mahlanapeng, Thaba-Tseka",-29.63,28.63,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,NMB8289,02-Dec-91,1991,Lesotho,Pallang,-29.88,27.88,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,NMB8483,03-May-92,1992,Lesotho,"Moqotoane, Thaba-Tseka",-29.63,28.88,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,NMB? (JW142),09-Feb-04,2004,South Africa,Karoo NP,-32.33,22.55,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,MYO001J,,NA,South Africa,Jonkershoek,-33.88,18.88,Kearney & van Schalkwyk 2009,,
Cistugidae,Cistugo,lesueuri,MYO002J,,NA,South Africa,Mazelsfontein,-29.13,23.67,Kearney & van Schalkwyk 2009,,
Cistugidae,Cistugo,lesueuri,KM26055,,NA,South Africa,Rocherspan,-32.67,18.38,Kearney & van Schalkwyk 2009,,
Cistugidae,Cistugo,lesueuri,MMK2496,,NA,South Africa,Algeria Forest Research Station,-32.4,19.13,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,DM88,,NA,South Africa,"Clarens, near",-28.52,28.42,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,lesueuri,DM7504,,NA,South Africa,Kamberg Valley,-29.75,29.36,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,seabrae,KM1889,31-Dec-36,1936,South Africa,Goodhouse,-28.9,18.25,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,seabrae,USNM00342632,12-Oct-63,1963,South Africa,"Springbok, 10km",-29.67,17.87,Monadjem et al. 2020,,
Cistugidae,Cistugo,seabrae,SMM4392,14-Feb-73,1973,Namibia,"Gorraris 99, Maltahohe",-24.88,16.38,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,seabrae,SMM9757,16-Oct-79,1979,Namibia,Skeleton Coast NP,-20.88,13.63,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,seabrae,TM31277,16-Oct-79,1979,Namibia,Skeleton Coast NP,-20.88,13.63,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,seabrae,SMM10538,17-Jul-83,1983,Namibia,"Namib-Naukluft NP, De Valle",-24.13,16.13,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,seabrae,TM37541,30-Oct-84,1984,Namibia,"Aus, 3km W",-26.65,16.22,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,seabrae,SMM11197,01-Nov-84,1984,Namibia,"Aus, 3km W",-26.65,16.22,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,seabrae,TM37587,03-Nov-84,1984,Namibia,"Maltahohe, 70km W",-24.9,16.28,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,seabrae,SMM11263,03-Nov-84,1984,Namibia,"Maltahohe, Zwartmodder 101",-24.88,16.38,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,seabrae,TM47581,10-Feb-05,2005,South Africa,Khamkirri,-28.65,20.43,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,seabrae,,17-Jan-17,2017,Namibia,"President's Borehole, Mudorib River",-19.3243,13.2309,T. Laverty Unpublished,,
Cistugidae,Cistugo,seabrae,BMNH1906.1.3.3,,1912,Angola,Mossamedes (=Namibe),-15.17,12.13,Crawford-Cabral 1989,Holotype,
Cistugidae,Cistugo,seabrae,LACM059088,,NA,Namibia,Orumpembe,-18.18,12.52,Monadjem et al. 2020,,Yes
Cistugidae,Cistugo,seabrae,MYO003J,,NA,South Africa,Goebag,-29.67,18.13,Kearney & van Schalkwyk 2009,,
Cistugidae,Cistugo,seabrae,MYO049J,,NA,South Africa,Steyerskraal,-28.67,19.38,Kearney & van Schalkwyk 2009,,
Cistugidae,Cistugo,seabrae,MMK7051,,NA,South Africa,Augrabies Falls NP,-28.6,20.33,Monadjem et al. 2020,,Yes
Emballonuridae,Coleura,afra,AMNH48809,16-Dec-11,1911,Democratic Republic of Congo,Aba,5.8833,30.2833,Van Cakenberghe et al. 2017,,
Emballonuridae,Coleura,afra,RBINS9062.1,01-Jan-46,1946,Democratic Republic of Congo,Lake Tanganyika,-6,29.18,Van Cakenberghe et al. 2017,,
Emballonuridae,Coleura,afra,RMCA23820,01-Jul-51,1951,Democratic Republic of Congo,Wago Mount,1.75,30.6667,Van Cakenberghe et al. 2017,,
Emballonuridae,Coleura,afra,USNM,25-Oct-66,1966,Nigeria,Idere,7.4833,3.25,Happold 1987,,
Emballonuridae,Coleura,afra,MHNG,24-Dec-85,1985,Central African Republic,"Mbrès, Gribingui/Préfecture de la Nana-Grébizi",6.6557,19.8149,GBIF,,
Emballonuridae,Coleura,afra,FMNH,10-Aug-07,2007,Tanzania,Amboni Caves,-5.0727,39.0485,GBIF,,
Emballonuridae,Coleura,afra,DM14081,24-May-12,2012,Gabon,Maboumine,-0.8042,10.5343,A. Monadjem Unpublished,,Yes
Emballonuridae,Coleura,afra,GV-CM-EO06308,07-Dec-12,2012,Cameroon,Leplikoung,3.6524,10.2272,Lebreton et al. 2014,,Yes
Emballonuridae,Coleura,afra,,25-Sep-21,2021,Djibouti,"Western Djibouti, Galafi Wetlands ",11.688,41.866,P. Webala Unpublished,,
Emballonuridae,Coleura,afra,,,NA,Angola,Benguela,-12.63,13.38,Crawford-Cabral 1989,,
Emballonuridae,Coleura,afra,IICA5233,,NA,Angola,Novo Redondo (=Sumbe),-11.38,13.88,Monadjem et al. 2020,,Yes
Emballonuridae,Coleura,afra,MNHN,,NA,Central African Republic,Bangui,4.383,18.617,GBIF,,
Emballonuridae,Coleura,afra,,,NA,Central African Republic,Kaga Djirri,5.7333,18.8333,Schlitter et al. 1982,,
Emballonuridae,Coleura,afra,,,1978,Central African Republic,Monovo-Gouna St. Floris NP (Koumbala),7.4833,21.2167,Schlitter et al. 1982,,
