,Family,Genus,Species,Museum_number,Date,Year,Country,Location,Latitude,Longitude,Reference,Holotype,Checked
1,Pteropodidae,Casinycteris,argynnis,BMNH 1911.5.5.1,19-Nov-09,1909,Cameroon,Bitye,3.2167,12.3667,Aellen 1952,Holotype,
2,Pteropodidae,Casinycteris,argynnis,,,2018,Cameroon,Dja Biosphere Reserve,3,13,Atagana et al. 2021,,
3,Pteropodidae,Casinycteris,argynnis,MHNG,26-Oct-59,1959,Cameroon,"à 6 km au NNW de Sangmelima, Foulassi/South Province",2.9833,11.9667,GBIF,,
4,Pteropodidae,Casinycteris,argynnis,MHNG,25-Apr-53,1953,Cameroon,"Mefo, 4 Km N Sangmelima/South Province",2.7833,10.8167,GBIF,,
5,Pteropodidae,Casinycteris,argynnis,FMNH 240664,,2019,Cameroon,"Mbammikom, camp 3",3.9168,11.3733,Grunwald et al. 2024,,
6,Pteropodidae,Casinycteris,argynnis,MNHN,17-Nov-08,2008,Central African Republic,"Réserve intégrale de la Mbaéré-Bodingué, case de Kpoka",3.898,17.157,GBIF,,
7,Pteropodidae,Casinycteris,argynnis,iNaturalist,04-Nov-10,2010,Central African Republic,Sangha-Mbaéré,2.9854,16.2337,GBIF,,
8,Pteropodidae,Casinycteris,argynnis,AMNH 269915,,1996,Central African Republic,Dzanga-Sanga FR,3.6,16.3333,Lunde & Beresford 1997,,
9,Pteropodidae,Casinycteris,argynnis,RMCAa1.097-M-0412,,1984,Democratic Republic of Congo,Bena Mbala,-6.8,23.78,Bergmans 1990,,
10,Pteropodidae,Casinycteris,argynnis,RMCA27430,,1979,Democratic Republic of Congo,Lukonga,-5.8,22.45,Bergmans 1990,,
11,Pteropodidae,Casinycteris,argynnis,RMCA93.079-M-0092,,1995,Democratic Republic of Congo,Mbwambala,-5.05,18.9,Bergmans 1990,,
12,Pteropodidae,Casinycteris,argynnis,AMNH 48751,,1910,Democratic Republic of Congo,Medje,2.4167,27.3,Bergmans 1990,,
13,Pteropodidae,Casinycteris,argynnis,,,1995,Democratic Republic of Congo,Kitwit,-5.08,18.91,Van Cakenberghe et al. 1999,,
14,Pteropodidae,Casinycteris,argynnis,,,2007,Democratic Republic of Congo,Baliko,0.2413,20.8833,Van Cakenberghe et al. 2017,,
15,Pteropodidae,Casinycteris,argynnis,,,1967,Democratic Republic of Congo,Boende,0.2333,20.8333,Van Cakenberghe et al. 2017,,
16,Pteropodidae,Casinycteris,argynnis,,,2010,Democratic Republic of Congo,Bomane,1.3,23.783,Van Cakenberghe et al. 2017,,
17,Pteropodidae,Casinycteris,argynnis,RMCA,,1985,Democratic Republic of Congo,Boteka,-0.33,19.2,Van Cakenberghe et al. 2017,,
18,Pteropodidae,Casinycteris,argynnis,UNIKIS,,2015,Democratic Republic of Congo,Epulu,1.3833,28.5,Van Cakenberghe et al. 2017,,
19,Pteropodidae,Casinycteris,argynnis,RMCA27430,,1956,Democratic Republic of Congo,Irangi,-1.9,28.45,Van Cakenberghe et al. 2017,,
20,Pteropodidae,Casinycteris,argynnis,RMNH,,1993,Democratic Republic of Congo,Kumi,-4.533,26.55,Van Cakenberghe et al. 2017,,
21,Pteropodidae,Casinycteris,argynnis,RMCA,,1965,Democratic Republic of Congo,Luluabourg (=Kananga),-5.88,22.43,Van Cakenberghe et al. 2017,,
22,Pteropodidae,Casinycteris,argynnis,ZMA,,1992,Democratic Republic of Congo,Lwana river,-1.9,28.467,Van Cakenberghe et al. 2017,,
23,Pteropodidae,Casinycteris,argynnis,RMCA16211,,1926,Democratic Republic of Congo,Stanleyville (=Kisangani),0.55,25.2333,Van Cakenberghe et al. 2017,,
24,Pteropodidae,Casinycteris,argynnis,RMCA,,1992,Democratic Republic of Congo,Wafanya,-1.35,20.33,Van Cakenberghe et al. 2017,,
25,Pteropodidae,Casinycteris,argynnis,UNIKIS,,2010,Democratic Republic of Congo,Yaekela,3.913,29.133,Van Cakenberghe et al. 2017,,
26,Pteropodidae,Casinycteris,argynnis,RMCA,,2012,Democratic Republic of Congo,Yoko,1.283,25.283,Van Cakenberghe et al. 2017,,
27,Pteropodidae,Casinycteris,argynnis,FMNH,06-Oct-12,2012,Uganda,Mabira,0.4373,32.954,Thorn & Kerbis Peterhans 2009,,
28,Pteropodidae,Casinycteris,campomaanensis,MNHN1011-637,18-Nov-07,2011,Cameroon,Campo-Ma'an NP,2.397,10.0449,Hassanin et al. 2014,Holotype,
29,Pteropodidae,Casinycteris,campomaanensis,FN 103,,2011,Nigeria,"Okomu NP, C2",6.345,5.358,Tanshi et al. 2019,,
30,Pteropodidae,Casinycteris,ophiodon,ZMB50001,,1899,Cameroon,Bipindi,3.1,10.5,Bergmans 1990,Holotype,
31,Pteropodidae,Casinycteris,ophiodon,,,NA,Cameroon,"Eseka, 3km W",3.65,10.7667,Bergmans 1990,,
32,Pteropodidae,Casinycteris,ophiodon,MHNG,,NA,Cameroon,"à 6 km au NNW de Sangmelima, Foulassi/South Province",2.9833,11.9667,GBIF,,
33,Pteropodidae,Casinycteris,ophiodon,SMNS,,1957,Cameroon,Malende swamp,4.35,9.433,Mongombe et al. 2020,,Yes
34,Pteropodidae,Casinycteris,ophiodon,ZFMK,,1961,Cameroon,Mueli,4.383,9.117,Mongombe et al. 2020,,Yes
35,Pteropodidae,Casinycteris,ophiodon,ZFMK,,NA,Equatorial Guinea,Bioko Island,3.75,8.8,Eisentraut 1973,,
36,Pteropodidae,Casinycteris,ophiodon,USNM 414017,05-Jan-68,1968,Ghana,"Prestea, 32 miles W",5.383,-2.467,Bergmans 1990,,
37,Pteropodidae,Casinycteris,ophiodon,BMNH 46.229,24-Dec-45,1945,Ghana,Oda,5.87,-0.87,Grubb et al. 1998,,
38,Pteropodidae,Casinycteris,ophiodon,,,2000,Ivory Coast,Tai NP,5.8333,-7.35,Fahr & Kalko 2011,,
39,Pteropodidae,Casinycteris,ophiodon,USNM,20-Jul-71,1971,Liberia,"Tars Town, 25 km N Zwedru",6.22,-8.13,Bergmans 1990,,
40,Pteropodidae,Casinycteris,ophiodon,,,1968,Liberia,Mount Nimba,7.4833,-8.5667,Coe 1975,,
41,Pteropodidae,Casinycteris,ophiodon,AMNH,,1988,Liberia,Jaoudi,5.45,-8.25,Koopman 1989,,
42,Pteropodidae,Casinycteris,ophiodon,AMNH,,1988,Liberia,Juarzohn,5.4167,-8.7833,Koopman 1989,,
43,Pteropodidae,Casinycteris,ophiodon,,,NA,Republic of Congo,Dimonika,-4.2167,12.4333,Dowsett et al. 1991,,
44,Pteropodidae,Casinycteris,ophiodon,,,1990,Republic of Congo,Goumina,-4.1333,12.1167,Dowsett et al. 1991,,
45,Pteropodidae,Eidolon,helvum,ZMB4239,,NA,Angola,Benguela,-12.63,13.38,Bergmans 1990,,
46,Pteropodidae,Eidolon,helvum,FMNH81729,,1954,Angola,"Camatabela, 30km W",-8.38,15.13,Bergmans 1990,,
47,Pteropodidae,Eidolon,helvum,ZMB5224,,NA,Angola,Chinchoxo,-5.13,12.13,Bergmans 1990,,
48,Pteropodidae,Eidolon,helvum,,,NA,Angola,Caconda,-13.63,15.13,Crawford-Cabral 1989,,
49,Pteropodidae,Eidolon,helvum,,,NA,Angola,Rio Cuilo,-5.88,16.38,Crawford-Cabral 1989,,
50,Pteropodidae,Eidolon,helvum,MDL 3422,04-Nov-53,1953,Angola,Dundo,-7.38,20.88,Hayman 1963,,
51,Pteropodidae,Eidolon,helvum,IICT1900014,22-Dec-51,1951,Angola,Santo Antonio do Zaire (=Soyo),-6.12,12.35,Lopes & Crawford-Cabral 1990,,
52,Pteropodidae,Eidolon,helvum,,,1968,Benin,Kpodave,6.8167,1.7667,Robbins 1980,,
53,Pteropodidae,Eidolon,helvum,,,1968,Benin,Soubroukou,9.1833,1.6333,Robbins 1980,,
54,Pteropodidae,Eidolon,helvum,,,1968,Benin,Tourou,9.35,2.55,Robbins 1980,,
55,Pteropodidae,Eidolon,helvum,,,NA,Burkina Faso,Boromo,11.75,-2.9333,Koch-Weser 1984,,
56,Pteropodidae,Eidolon,helvum,,,NA,Burkina Faso,Dedougou,12.4167,-3.5,Koch-Weser 1984,,
57,Pteropodidae,Eidolon,helvum,,,NA,Burkina Faso,Diebougou,10.9167,-3.25,Koch-Weser 1984,,
58,Pteropodidae,Eidolon,helvum,SMF,,1980,Burkina Faso,Dori,14.0333,-0.0333,Koch-Weser 1984,,
59,Pteropodidae,Eidolon,helvum,SMF,,1980,Burkina Faso,Ouagadougou,12.3667,-1.5167,Koch-Weser 1984,,
60,Pteropodidae,Eidolon,helvum,,,1972,Burkina Faso,Fo,11.8833,-4.5167,Koopman et al. 1978,,
61,Pteropodidae,Eidolon,helvum,,,1972,Burkina Faso,Koutoura,10.3167,-4.8833,Koopman et al. 1978,,
62,Pteropodidae,Eidolon,helvum,,,1972,Burkina Faso,Sideradougou,10.6667,-4.25,Koopman et al. 1978,,
63,Pteropodidae,Eidolon,helvum,SMF,,1979,Burundi,Kayanza,-2.9167,29.6333,Kock 1981,,
64,Pteropodidae,Eidolon,helvum,MHNG,,1970,Burundi,Buhoro,-2.7,29.183,Van Cakenberghe et al. 2017,,
